Name,URL,Description
CROWNS,https://crowncoinscasino.com/?utm_campaign=8a0fea69-022f-479b-8b09-48e8460469a6&utm_source=friends,Casino with free coins
ROLLA.COM,https://www.rolla.com/?raf=1177873,Online casino
REALPRIZE.COM,https://realprize.com/refer/2018465,Prize gaming platform
SPINBLITZ.com,https://www.spinblitz.com/lp/raf?r=0935b0ad%2F2735495799,Spin and win games
Mcluck.com,https://www.mcluck.com/lp/raf?r=5ac6645c%2F2735506871,Casino platform
Casino.click,https://casino.click/?modal=iqs-sign-up&ReferenceCode=632453&AffiliatePlatformId=200,Online casino
Babacasino.com,https://play.babacasino.com/#/?referral_id=071466df7d98f97fe7b1ed91bf8e2ff7&inv_referral=true&fb_source=invite,Baba casino
Spree.com,https://spree.com/?r=2285032,Rewards platform
Ignition,https://www.ignitioncasino.eu/welcome/P63874DF/join,European casino
Opus.pro,https://www.opus.pro/?via=790569,Crypto platform with daily bonuses
Fetch,https://referral.fetch.com/vvv3/referralqr?code=3AX5JU,Rewards app for receipts
Mistplay,https://mistplay.onelink.me/ZGRQ/yi5xdpjq,Mobile games rewards
Wow Vegas,https://www.wowvegas.com/?raf=12433217,Vegas casino
SoFi Personal Loans,https://www.sofi.com/invite/personal-loans?gcp=03adc5f9-015e-4adf-b648-bd0c6cb3d8f1&isAliasGcp=false,Get $300 bonus
SoFi Credit Monitoring,https://www.sofi.com/invite/relay?gcp=05b66efb-03f5-4260-9648-6bed10ef45b1&isAliasGcp=false,Get $10 in rewards
SoFi Invest,https://www.sofi.com/invite/invest?gcp=9ca854df-3027-4ca2-b723-12d87aebac29&isAliasGcp=false,Get $25 in stock
SoFi Crypto,https://www.sofi.com/invite/crypto?gcp=707f29be-3ef6-4041-862d-3f053acba3da&isAliasGcp=false,Get $25 crypto bonus
SoFi Money,https://www.sofi.com/invite/money?gcp=547822fd-2195-4f86-b2ba-b5f489050d21&isAliasGcp=false,Up to $425 cash bonus
Honeygain,https://join.honeygain.com/CENTRFAD3A,Passive income app
Vultr,https://www.vultr.com/?ref=9896825-9J,Cloud hosting
